[ 2025-01-22 23:33:00,562 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-22 23:33:05,104 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-22 23:33:05,104 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-22 23:33:05,104 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-22 23:33:05,212 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-22 23:33:05,212 ] 20 root - INFO - Data Initiation Completed
[ 2025-01-22 23:33:05,228 ] 24 root - INFO - Initiate the data Validation
[ 2025-01-22 23:33:05,316 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:33:05,316 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:33:05,316 ] 32 root - INFO - Required number of columns:2
[ 2025-01-22 23:33:05,316 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-22 23:33:05,565 ] 26 root - INFO - data Validation Completed
[ 2025-01-22 23:33:05,565 ] 29 root - INFO - Model Training artifact created
