[ 2025-01-28 13:54:22,030 ] 16 root - INFO - Initiate the data ingestion
[ 2025-01-28 13:54:27,948 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-28 13:54:27,948 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-28 13:54:27,948 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-28 13:54:28,099 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-28 13:54:28,099 ] 18 root - INFO - Data Initiation Completed
[ 2025-01-28 13:54:28,115 ] 22 root - INFO - Initiate the data Validation
[ 2025-01-28 13:54:28,198 ] 32 root - INFO - Required number of columns:2
[ 2025-01-28 13:54:28,198 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-28 13:54:28,198 ] 32 root - INFO - Required number of columns:2
[ 2025-01-28 13:54:28,198 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-28 13:54:28,468 ] 24 root - INFO - data Validation Completed
[ 2025-01-28 13:54:28,468 ] 27 root - INFO - data Transformation started
[ 2025-01-28 13:54:28,468 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-28 13:54:28,468 ] 65 root - INFO - Starting data transformation
[ 2025-01-28 13:54:28,517 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-28 13:54:28,517 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-28 13:54:28,543 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-28 13:54:28,552 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-28 13:54:28,552 ] 44 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-28 13:54:28,555 ] 48 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-28 13:54:28,558 ] 31 root - INFO - data Transformation completed
