[ 2025-01-29 12:58:40,275 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-29 12:58:45,730 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-01-29 12:58:45,730 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-29 12:58:45,730 ] 75 root - INFO - Exporting train and test file path.
[ 2025-01-29 12:58:45,887 ] 84 root - INFO - Exported train and test file path.
[ 2025-01-29 12:58:45,887 ] 20 root - INFO - Data Initiation Completed
[ 2025-01-29 12:58:45,914 ] 24 root - INFO - Initiate the data Validation
[ 2025-01-29 12:58:45,994 ] 32 root - INFO - Required number of columns:2
[ 2025-01-29 12:58:46,003 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-29 12:58:46,003 ] 32 root - INFO - Required number of columns:2
[ 2025-01-29 12:58:46,003 ] 33 root - INFO - Data frame has columns:31
[ 2025-01-29 12:58:46,348 ] 26 root - INFO - data Validation Completed
[ 2025-01-29 12:58:46,348 ] 29 root - INFO - data Transformation started
[ 2025-01-29 12:58:46,348 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-01-29 12:58:46,348 ] 65 root - INFO - Starting data transformation
[ 2025-01-29 12:58:46,406 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-01-29 12:58:46,406 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-29 12:58:46,430 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-29 12:58:46,439 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-29 12:58:46,439 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-29 12:58:46,442 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-29 12:58:46,442 ] 33 root - INFO - data Transformation completed
[ 2025-01-29 12:58:46,442 ] 35 root - INFO - Model Training sstared
